整租·银谷美泉家园2室2厅南/北 124.00㎡ 南北 2室2厅2卫,朝阳朝青银谷美泉家园
整租·榆垡新城嘉园D区2室1厅南/北 79.60㎡ 南北 2室1厅1卫,大兴大兴机场空港榆垡新城嘉园D区
整租·酒仙桥三街坊2室1厅南/北 54.92㎡ 南北 2室1厅1卫,朝阳酒仙桥酒仙桥三街坊
整租·扣钟北里西区2室1厅南/北 58.80㎡ 南北 2室1厅1卫,西城阜成门扣钟北里西区
整租·富力华庭苑西区2室1厅南/西 89.00㎡ 南西 2室1厅1卫,大兴大兴新机场富力华庭苑西区
整租·中冀大厦4房间东南/南 108.14㎡ 东南南 4房间2卫,亦庄开发区亦庄中冀大厦
整租·鼓楼东区2室2厅南/北 92.28㎡ 南北 2室2厅1卫,密云鼓楼街道鼓楼东区
整租·北京华侨城2号院3室1厅南/北 222.96㎡ 南北 3室1厅3卫,朝阳欢乐谷北京华侨城2号院
整租·富锦嘉园二区2室1厅东南 91.00㎡ 东南 2室1厅1卫,丰台科技园区富锦嘉园二区
整租·复兴西里31号院3室1厅南/北 106.00㎡ 南北 3室1厅1卫,通州万达复兴西里31号院
整租·文慧园一号公寓1室0厅东 38.39㎡ 东 1室0厅1卫,海淀小西天文慧园一号公寓
整租·如园南区4室2厅东/南/北 288.95㎡ 东南北 4室2厅3卫,海淀西北旺如园南区
整租·万地名苑3室2厅西北 144.92㎡ 西北 3室2厅1卫,海淀五棵松万地名苑
整租·东风家园1室1厅西 82.00㎡ 西 1室1厅1卫,朝阳朝阳公园东风家园
整租·新德街甲31号院3室1厅南/北 57.00㎡ 南北 3室1厅1卫,西城德胜门新德街甲31号院
整租·法华南里1室0厅南 43.00㎡ 南 1室0厅1卫,东城崇文门法华南里
整租·怡锦园1室1厅西南 73.00㎡ 西南 1室1厅1卫,丰台科技园区怡锦园
整租·五栋大楼3室2厅南/西 166.00㎡ 南西 3室2厅2卫,西城车公庄五栋大楼
整租·复兴西里31号院2室1厅东/西 82.84㎡ 东西 2室1厅1卫,通州万达复兴西里31号院
整租·大悦城公寓2房间东 88.00㎡ 东 2房间1卫,朝阳朝青大悦城公寓
整租·茶贸国际中心1房间南 34.00㎡ 南 1房间1卫,西城马连道茶贸国际中心
整租·金隅汇星苑2室1厅南 82.00㎡ 南 2室1厅1卫,朝阳高碑店金隅汇星苑
整租·融泽嘉园西二路2号院2室1厅南/北 89.00㎡ 南北 2室1厅1卫,昌平回龙观融泽嘉园西二路2号院
整租·富力城D区4室2厅东/南/北 247.00㎡ 东南北 4室2厅3卫,朝阳双井富力城D区
整租·自由季2房间东南 54.00㎡ 东南 2房间1卫,东城广渠门自由季
整租·三里河一区2室1厅南/北 57.00㎡ 南北 2室1厅1卫,西城月坛三里河一区
整租·美立方2房间东 57.36㎡ 东 2房间1卫,朝阳北苑美立方
整租·北苑家园莲葩园2室1厅西南/北 111.79㎡ 西南北 2室1厅1卫,朝阳北苑北苑家园莲葩园
整租·首开石榴派2房间北 40.00㎡ 北 2房间1卫,丰台刘家窑首开石榴派
整租·美立方3房间西 59.00㎡ 西 3房间1卫,朝阳北苑美立方
整租·金隅凤麟洲1室0厅西 37.32㎡ 西 1室0厅1卫,朝阳朝青金隅凤麟洲
整租·东亚创展国际3房间东南 76.46㎡ 东南 3房间1卫,顺义后沙峪东亚创展国际
整租·力宝广场1房间北 92.30㎡ 北 1房间1卫,亦庄开发区亦庄力宝广场
整租·首邑上城3房间西北 97.00㎡ 西北 3房间1卫,大兴枣园首邑上城
整租·鹭峯国际3房间南 95.00㎡ 南 3房间1卫,顺义顺义其它鹭峯国际
整租·天龙华鹤2房间东 80.00㎡ 东 2房间1卫,丰台科技园区天龙华鹤
整租·中国铁建广场2房间南 57.02㎡ 南 2房间1卫,朝阳北苑中国铁建广场
整租·会展誉景2房间西 70.00㎡ 西 2房间1卫,顺义中央别墅区会展誉景
整租·金地未未来5房间西 80.00㎡ 西 5房间3卫,顺义顺义其它金地未未来
整租·八里庄路62号院2房间西 50.00㎡ 西 2房间1卫,海淀定慧寺八里庄路62号院
整租·众美城2室1厅南 81.00㎡ 南 2室1厅1卫,大兴大兴新机场众美城
整租·亿城天筑2房间复式东 36.89㎡ 东 2房间1卫,丰台科技园区亿城天筑
整租·金地中央世家6房间南 90.00㎡ 南 6房间2卫,顺义后沙峪金地中央世家
整租·泰禾一号街区2房间南 44.00㎡ 南 2房间2卫,通州通州其它泰禾一号街区
整租·利锦府府上2房间东 40.00㎡ 东 2房间2卫,朝阳东坝利锦府府上
整租·明天第一城6号院3房间南 82.91㎡ 南 3房间1卫,朝阳立水桥明天第一城6号院
整租·亮马水晶2室1厅西南 90.79㎡ 西南 2室1厅1卫,朝阳朝阳公园亮马水晶
整租·FCC中央城5房间西南 72.00㎡ 西南 5房间2卫,房山长阳FCC中央城
整租·河畔丽景3室1厅西南 132.00㎡ 西南 3室1厅1卫,通州武夷花园河畔丽景
整租·明天第一城6号院3房间南/北 79.90㎡ 南北 3房间1卫,朝阳立水桥明天第一城6号院
整租·东亚创展国际3房间东/南 77.00㎡ 东南 3房间1卫,顺义后沙峪东亚创展国际
整租·东亚三环1房间南 34.80㎡ 南 1房间1卫,丰台马家堡东亚三环
整租·常楹公元自由派1房间南 37.00㎡ 南 1房间1卫,朝阳常营常楹公元自由派
整租·西山洋房2房间南 38.50㎡ 南 2房间1卫,海淀田村西山洋房
整租·东亚创展国际3房间西南 77.00㎡ 西南 3房间1卫,顺义后沙峪东亚创展国际
整租·地震局宿舍2室1厅南/北 61.00㎡ 南北 2室1厅1卫,石景山玉泉路地震局宿舍
整租·花园小区2室2厅南/北 103.41㎡ 南北 2室2厅1卫,密云鼓楼街道花园小区
整租·东亚五环国际4房间南 116.00㎡ 南 4房间1卫,大兴旧宫东亚五环国际
整租·南新园2室1厅南/北 75.00㎡ 南北 2室1厅1卫,朝阳华威桥南新园
整租·新外大街10号院2室1厅南 63.00㎡ 南 2室1厅1卫,西城马甸新外大街10号院
整租·万科星园3室1厅东南 126.00㎡ 东南 3室1厅1卫,朝阳奥林匹克公园万科星园
整租·林肯公寓4房间东北 73.09㎡ 东北 4房间3卫,亦庄开发区亦庄林肯公寓
整租·阳光丽景2室1厅西/北 98.00㎡ 西北 2室1厅1卫,西城马甸阳光丽景
整租·世方豪庭6室1厅南 248.00㎡ 南 6室1厅3卫,朝阳亮马桥世方豪庭
整租·顶秀青溪5室1厅复式南/北 169.90㎡ 南北 5室1厅2卫,昌平立水桥顶秀青溪
整租·富丰路8号院2室1厅东/南/北 73.83㎡ 东南北 2室1厅1卫,丰台科技园区富丰路8号院
整租·清城国际中心3房间西北 90.00㎡ 西北 3房间1卫,大兴黄村中清城国际中心
整租·德外大街12号院3室2厅东南/东北 105.00㎡ 东南东北 3室2厅2卫,西城六铺炕德外大街12号院
整租·爱这城一期1室1厅东 66.00㎡ 东 1室1厅1卫,朝阳四惠爱这城一期
整租·IDCITY艾迪城3房间西 65.00㎡ 西 3房间2卫,顺义后沙峪IDCITY艾迪城
整租·农光里2室1厅南/北 62.36㎡ 南北 2室1厅1卫,朝阳劲松农光里
整租·碧水云天3室2厅西 150.00㎡ 西 3室2厅2卫,海淀万柳碧水云天
整租·和平新城一期2室2厅东/南/北 126.38㎡ 东南北 2室2厅2卫,东城和平里和平新城一期
整租·公庄小区3室2厅南/北 118.65㎡ 南北 3室2厅2卫,通州梨园公庄小区
整租·首开保利熙悦林语3室1厅南/北 138.00㎡ 南北 3室1厅1卫,大兴瀛海首开保利熙悦林语
整租·兴海家园星苑2室1厅南/北 77.99㎡ 南北 2室1厅1卫,大兴西红门兴海家园星苑
整租·瞰都国际1室0厅西北 60.41㎡ 西北 1室0厅1卫,朝阳朝阳公园瞰都国际
整租·双榆树北路2室1厅南/北 99.00㎡ 南北 2室1厅1卫,海淀双榆树双榆树北路
整租·裕龙六区3室1厅南/北 118.00㎡ 南北 3室1厅2卫,顺义顺义城裕龙六区
整租·富力城D区3室2厅南/北 178.00㎡ 南北 3室2厅2卫,朝阳双井富力城D区
整租·苹果汇3房间西/北 80.00㎡ 西北 3房间1卫,石景山苹果园苹果汇
整租·丰益花园东区2室1厅北 91.66㎡ 北 2室1厅1卫,丰台丽泽丰益花园东区
整租·金茂府北区4室2厅南/北 237.00㎡ 南北 4室2厅2卫,朝阳大望路金茂府北区
整租·卢沟桥南里2室1厅南/北 65.00㎡ 南北 2室1厅1卫,丰台卢沟桥卢沟桥南里
整租·益明园2室1厅南/北 91.42㎡ 南北 2室1厅1卫,丰台马家堡益明园
整租·中粮祥云国际生活区2室2厅南/北 116.00㎡ 南北 2室2厅2卫,顺义后沙峪中粮祥云国际生活区
整租·望京花园西区2室1厅东南 80.00㎡ 东南 2室1厅1卫,朝阳望京望京花园西区
整租·潘家坡胡同4号院3室1厅南/北 69.30㎡ 南北 3室1厅1卫,东城朝阳门外潘家坡胡同4号院
整租·新城国际1室1厅东北 88.00㎡ 东北 1室1厅1卫,朝阳东大桥新城国际
整租·中粮祥云国际生活区2室1厅南/北 114.00㎡ 南北 2室1厅1卫,顺义后沙峪中粮祥云国际生活区
整租·远洋新干线3室1厅西/北 133.00㎡ 西北 3室1厅1卫,朝阳燕莎远洋新干线
整租·远洋天地二期5室3厅南/北 190.84㎡ 南北 5室3厅3卫,朝阳四惠远洋天地二期
整租·世安家园2室2厅南 117.00㎡ 南 2室2厅1卫,朝阳望京世安家园
整租·碧湖居2室1厅东/北 100.50㎡ 东北 2室1厅1卫,朝阳农展馆碧湖居
整租·乐成公馆3室1厅南/北 195.00㎡ 南北 3室1厅2卫,朝阳大望路乐成公馆
整租·苗圃宿舍家属楼1室1厅南/北 37.47㎡ 南北 1室1厅1卫,海淀五棵松苗圃宿舍家属楼
整租·上林世家2室2厅南/北 178.91㎡ 南北 2室2厅2卫,朝阳奥林匹克公园上林世家
整租·育龙馨居2室1厅南/北 75.00㎡ 南北 2室1厅1卫,怀柔怀柔育龙馨居
整租·东土城路9号院2室1厅东/西 52.04㎡ 东西 2室1厅1卫,朝阳和平里东土城路9号院
整租·阳光1003室2厅西南 145.00㎡ 西南 3室2厅2卫,朝阳CBD阳光100
整租·佑安府5室4厅南/北 450.00㎡ 南北 5室4厅4卫,丰台右安门外佑安府
整租·华贸城3室1厅东/南/北 108.00㎡ 东南北 3室1厅1卫,朝阳北苑华贸城
整租·安贞西里1室1厅南 35.75㎡ 南 1室1厅1卫,朝阳安贞安贞西里
整租·华悦国际公寓5室1厅南/北 354.00㎡ 南北 5室1厅1卫,朝阳亚运村华悦国际公寓
整租·江山赋3室2厅南/北 150.00㎡ 南北 3室2厅2卫,顺义后沙峪江山赋
整租·林肯公园5房间西南 220.00㎡ 西南 5房间3卫,亦庄开发区亦庄林肯公园
整租·模式口西里2室1厅东/南 60.00㎡ 东南 2室1厅1卫,石景山苹果园模式口西里
整租·清和园2室1厅南/北 72.00㎡ 南北 2室1厅1卫,大兴旧宫清和园
整租·荣尊堡国际俱乐部公寓3室2厅南/西南 204.85㎡ 南西南 3室2厅2卫,朝阳亚运村荣尊堡国际俱乐部公寓
整租·水关新村2室1厅南/北 93.00㎡ 南北 2室1厅1卫,昌平东关水关新村
整租·王府温馨公寓4室2厅复式南/北 191.00㎡ 南北 4室2厅3卫,昌平北七家王府温馨公寓
整租·马连洼北路1号院2室1厅南/北 56.00㎡ 南北 2室1厅1卫,海淀上地马连洼北路1号院
整租·加气混凝土厂宿舍3室1厅南/北 64.00㎡ 南北 3室1厅1卫,海淀清河加气混凝土厂宿舍
整租·中铁翰庭3室2厅南/北 120.00㎡ 南北 3室2厅2卫,海淀学院路中铁翰庭
整租·德胜置业2室1厅北 95.19㎡ 北 2室1厅1卫,西城六铺炕德胜置业
整租·太平小区3室1厅南/北 95.00㎡ 南北 3室1厅1卫,顺义顺义城太平小区
整租·太月园2室1厅南 97.00㎡ 南 2室1厅1卫,海淀知春路太月园
整租·鹭峯国际3房间南 95.00㎡ 南 3房间1卫,顺义顺义其它鹭峯国际
整租·紫金新干线2室1厅南 83.00㎡ 南 2室1厅1卫,昌平霍营紫金新干线
整租·LOFTEL3室1厅南/北 179.00㎡ 南北 3室1厅2卫,朝阳望京LOFTEL
整租·上京新航线3室2厅南/北 139.40㎡ 南北 3室2厅2卫,朝阳望京上京新航线
整租·荣京丽都1房间东 34.12㎡ 东 1房间1卫,亦庄开发区亦庄荣京丽都
整租·五月华庭2室1厅南 61.82㎡ 南 2室1厅1卫,海淀小西天五月华庭
整租·硅谷SOHO2房间南/北 70.00㎡ 南北 2房间1卫,昌平南邵硅谷SOHO
整租·华远澜悦3房间东 73.55㎡ 东 3房间1卫,密云密云镇华远澜悦
整租·东方太阳城富春园6室2厅复式南/北 316.18㎡ 南北 6室2厅4卫,顺义顺义其它东方太阳城富春园
整租·焦各庄街2号院2室1厅南/北 90.00㎡ 南北 2室1厅1卫,顺义顺义其它焦各庄街2号院
整租·金宝天阶2室1厅北 55.00㎡ 北 2室1厅1卫,顺义马坡金宝天阶
整租·长安6号2房间北 56.15㎡ 北 2房间1卫,朝阳建国门外长安6号
整租·保利海德公园2房间东北 55.20㎡ 东北 2房间1卫,海淀知春路保利海德公园
整租·清河文苑4室2厅东/北 163.40㎡ 东北 4室2厅2卫,海淀清河清河文苑
整租·世华龙樾一期西区1室1厅南 52.00㎡ 南 1室1厅1卫,海淀清河世华龙樾一期西区
整租·双榆树北里2室1厅南/北 61.00㎡ 南北 2室1厅1卫,海淀双榆树双榆树北里
整租·远洋山水3室2厅南/北 135.00㎡ 南北 3室2厅2卫,石景山鲁谷远洋山水
整租·菊园4室1厅南/西/北 104.30㎡ 南西北 4室1厅1卫,海淀马连洼菊园
整租·大山子北里3室1厅东南/西北 50.55㎡ 东南西北 3室1厅1卫,朝阳大山子大山子北里
整租·沁春家园2室1厅西北 109.00㎡ 西北 2室1厅1卫,海淀西三旗沁春家园
整租·酱油厂宿舍楼2室1厅南/北 61.00㎡ 南北 2室1厅1卫,海淀紫竹桥酱油厂宿舍楼
整租·林肯公园A区5房间东北 151.83㎡ 东北 5房间2卫,亦庄开发区亦庄林肯公园A区
整租·小黄庄一区2室1厅南 70.15㎡ 南 2室1厅1卫,东城安贞小黄庄一区
整租·豆瓣胡同2室1厅南 71.30㎡ 南 2室1厅1卫,东城朝阳门内豆瓣胡同
整租·萬橡悦府3室2厅南/西 89.00㎡ 南西 3室2厅2卫,昌平回龙观萬橡悦府
整租·西坝河北里202号院2室1厅南 74.09㎡ 南 2室1厅1卫,朝阳西坝河西坝河北里202号院
整租·正辰小区2室1厅南/西/北 92.00㎡ 南西北 2室1厅1卫,昌平天通苑正辰小区
整租·桥东街小区2室1厅南/北 55.26㎡ 南北 2室1厅1卫,门头沟城子桥东街小区
整租·国门智慧城3室1厅南 72.00㎡ 南 3室1厅2卫,顺义后沙峪国门智慧城
整租·翠竹新村2室1厅南/北 93.00㎡ 南北 2室1厅1卫,顺义中央别墅区翠竹新村
整租·鼎晟国际2室1厅西南 97.00㎡ 西南 2室1厅1卫,通州万达鼎晟国际
整租·凤凰城三期2室2厅东/南 128.56㎡ 东南 2室2厅2卫,朝阳三元桥凤凰城三期
整租·明天第一城6号院3房间南 79.35㎡ 南 3房间1卫,朝阳立水桥明天第一城6号院
整租·乐想汇2房间南 68.00㎡ 南 2房间1卫,朝阳北苑乐想汇
整租·明天第一城6号院3房间西南 79.00㎡ 西南 3房间1卫,朝阳立水桥明天第一城6号院
整租·中粮祥云国际生活区2房间南 54.08㎡ 南 2房间1卫,顺义后沙峪中粮祥云国际生活区
整租·远见名苑1室0厅西 57.27㎡ 西 1室0厅1卫,西城广安门远见名苑
整租·苹果社区北区0室2厅南 94.00㎡ 南 未知室2厅2卫,朝阳双井苹果社区北区
整租·美立方3房间西 57.00㎡ 西 3房间2卫,朝阳北苑美立方
整租·绿地启航国际南区2房间南 40.33㎡ 南 2房间1卫,顺义后沙峪绿地启航国际南区
整租·明天第一城8号院3房间南 80.00㎡ 南 3房间1卫,朝阳立水桥明天第一城8号院
整租·金地中央世家2房间南 45.00㎡ 南 2房间2卫,顺义后沙峪金地中央世家
整租·天恒世界集3房间北 57.04㎡ 北 3房间1卫,大兴高米店天恒世界集
整租·玲珑天地1房间西 44.00㎡ 西 1房间1卫,海淀定慧寺玲珑天地
整租·清澄名苑北区0室0厅东 65.00㎡ 东 未知室0厅1卫,大兴黄村中清澄名苑北区
整租·上地国际创业园3室1厅南/西 154.36㎡ 南西 3室1厅2卫,海淀上地上地国际创业园
整租·红石座2房间南 56.00㎡ 南 2房间0卫,昌平东关红石座
整租·东亚望京中心1房间东南/西南 39.95㎡ 东南西南 1房间1卫,朝阳望京东亚望京中心
整租·西海国际中心2房间西 55.10㎡ 西 2房间1卫,海淀苏州桥西海国际中心
整租·翼之城3房间南 71.90㎡ 南 3房间1卫,顺义顺义其它翼之城
整租·合生世界花园2房间东 58.00㎡ 东 2房间1卫,通州马驹桥合生世界花园
整租·茶贸国际中心1房间北 34.00㎡ 北 1房间1卫,西城马连道茶贸国际中心
整租·北京经开芯中心3房间南 116.82㎡ 南 3房间1卫,亦庄开发区亦庄北京经开芯中心
整租·甘露晴苑2室1厅东 86.00㎡ 东 2室1厅1卫,朝阳甘露园甘露晴苑
整租·FCC中央城3房间东 73.00㎡ 东 3房间1卫,房山长阳FCC中央城
整租·FCC中央城5房间西南 80.00㎡ 西南 5房间2卫,房山长阳FCC中央城
整租·香悦四季1房间南 42.00㎡ 南 1房间1卫,顺义马坡香悦四季
整租·广馨居2室1厅东北 60.00㎡ 东北 2室1厅1卫,朝阳双井广馨居
整租·中国铁建广场2房间北 57.15㎡ 北 2房间1卫,朝阳北苑中国铁建广场
整租·上奥世纪中心1房间东 46.53㎡ 东 1房间0卫,昌平西三旗上奥世纪中心
整租·天巢园1室1厅南 58.00㎡ 南 1室1厅1卫,昌平回龙观天巢园
整租·光彩国际公寓3室2厅东南 216.48㎡ 东南 3室2厅2卫,朝阳工体光彩国际公寓
整租·劲松五区1室1厅南 42.00㎡ 南 1室1厅1卫,朝阳劲松劲松五区
整租·和悦华锦3室1厅南/北 89.00㎡ 南北 3室1厅1卫,大兴亦庄开发区其它和悦华锦
整租·玲珑天地3房间南 83.00㎡ 南 3房间1卫,海淀定慧寺玲珑天地
整租·金地朗悦悦园3室1厅南/北 89.00㎡ 南北 3室1厅1卫,房山长阳金地朗悦悦园
整租·九龙花园2室1厅西南 90.75㎡ 西南 2室1厅1卫,朝阳双井九龙花园
整租·方恒偶寓2房间南 55.00㎡ 南 2房间1卫,丰台宋家庄方恒偶寓
整租·青年湖东里1室1厅南 41.00㎡ 南 1室1厅1卫,东城安定门青年湖东里
整租·gogo新世代1室1厅东 46.39㎡ 东 1室1厅1卫,丰台方庄gogo新世代
整租·梅市口路11号院2室1厅南/北 74.00㎡ 南北 2室1厅1卫,丰台岳各庄梅市口路11号院
整租·世纪金源国际公寓1室1厅西南 119.00㎡ 西南 1室1厅1卫,海淀世纪城世纪金源国际公寓
整租·滨湖南街小区3室2厅南/北 105.00㎡ 南北 3室2厅1卫,怀柔怀柔滨湖南街小区
整租·上北鑫座1房间西南 73.00㎡ 西南 1房间1卫,昌平回龙观上北鑫座
整租·馨莲茗园2室1厅北 68.00㎡ 北 2室1厅1卫,西城马连道馨莲茗园
整租·天翠园2室2厅南/北 116.00㎡ 南北 2室2厅2卫,朝阳奥林匹克公园天翠园
整租·杰座大厦1室1厅东 71.00㎡ 东 1室1厅1卫,朝阳工体杰座大厦
整租·后现代城C区2室1厅东南 110.00㎡ 东南 2室1厅1卫,朝阳大望路后现代城C区
整租·悠乐汇2房间南 55.00㎡ 南 2房间1卫,朝阳望京悠乐汇
整租·北京邮电大学1室1厅南 33.15㎡ 南 1室1厅1卫,海淀小西天北京邮电大学
整租·中关村公馆1室1厅东 42.53㎡ 东 1室1厅1卫,海淀苏州桥中关村公馆
整租·三里屯东2室1厅东/西 60.19㎡ 东西 2室1厅1卫,朝阳三里屯三里屯东
整租·正邦嘉园二期1室1厅东 80.00㎡ 东 1室1厅1卫,丰台刘家窑正邦嘉园二期
整租·博泰国际3室0厅南/北 163.00㎡ 南北 3室0厅0卫,朝阳望京博泰国际
整租·莱圳家园2室1厅南 66.00㎡ 南 2室1厅1卫,海淀清河莱圳家园
整租·光大水墨风景2室1厅南/北 120.00㎡ 南北 2室1厅1卫,海淀万柳光大水墨风景
整租·首开熙悦广场3房间西 64.00㎡ 西 3房间1卫,房山长阳首开熙悦广场
整租·宏大中园3室1厅南/北 148.58㎡ 南北 3室1厅2卫,大兴西红门宏大中园
整租·新外大街6号院1室1厅南 38.70㎡ 南 1室1厅1卫,西城马甸新外大街6号院
整租·胜古南里2室1厅南/北 59.00㎡ 南北 2室1厅1卫,朝阳惠新西街胜古南里
整租·桃园公寓4室2厅东/西 140.96㎡ 东西 4室2厅2卫,昌平北七家桃园公寓
